std_fwk_flag,std_fwk_name,std_fwk_code,st_code,apps_level_6p,apps_level,apps_level_detailed,ssa_t1_code,ssa_t1_desc,ssa_t2_code,ssa_t2_desc,stem,route,apps_degree
Standard,Improvement Practitioner,237,ST0192,0,Higher Apprenticeship,4,04,Engineering and Manufacturing Technologies,04.1,Engineering,STEM - yes,Business and Administration,No
Standard,Infrastructure Technician,82,ST0125,0,Advanced Apprenticeship,3,06,Information and Communication Technology,06.1,ICT Practitioners,STEM - yes,Digital,No
Standard,Dental Nurse (Integrated),61,ST0113,0,Advanced Apprenticeship,3,01,"Health, Public Services and Care",01.3,Health and Social Care,STEM - no,Health and Science,No
Standard,Lead Adult Care Worker,118,ST0006,0,Advanced Apprenticeship,3,01,"Health, Public Services and Care",01.3,Health and Social Care,STEM - no,Care Services,No
Standard,"Safety, Health and Environment Technician",260,ST0550,0,Advanced Apprenticeship,3,05,"Construction, Planning and the Built Environment",05.2,Building and Construction,STEM - yes,Protective Services,No
Standard,Digital Support Technician,439,ST0120,0,Advanced Apprenticeship,3,06,Information and Communication Technology,06.1,ICT Practitioners,STEM - yes,Digital,No
Standard,Operations or Departmental Manager,104,ST0385,0,Higher Apprenticeship,5,15,"Business, Administration and Law",15.3,Business Management,STEM - no,Business and Administration,No
Standard,Customer Service Practitioner,122,ST0072,0,Intermediate Apprenticeship,2,15,"Business, Administration and Law",15.2,Administration,STEM - no,"Sales, Marketing and Procurement",No
Standard,Bricklayer,287,ST0095,0,Intermediate Apprenticeship,2,05,"Construction, Planning and the Built Environment",05.2,Building and Construction,STEM - yes,Construction,No
Standard,Roofer,518,ST0270,0,Intermediate Apprenticeship,2,05,"Construction, Planning and the Built Environment",05.2,Building and Construction,STEM - yes,Construction,No
Standard,Digital and Technology Solutions Professional (Integrated Degree),25,ST0119,1,Higher Apprenticeship,6,06,Information and Communication Technology,06.1,ICT Practitioners,STEM - yes,Digital,Yes
Standard,Pharmacy Technician (Integrated),471,ST0300,0,Advanced Apprenticeship,3,01,"Health, Public Services and Care",01.3,Health and Social Care,STEM - no,Health and Science,No
Standard,Early Years Educator,430,ST0135,0,Advanced Apprenticeship,3,01,"Health, Public Services and Care",01.5,Child Development and Well Being,STEM - no,Education and Childcare,No
Framework,Construction Skills,116,NA,0,Intermediate Apprenticeship,2,05,"Construction, Planning and the Built Environment",05.2,Building and Construction,STEM - yes,No Route,No
Standard,Senior Healthcare Support Worker,151,ST0217,0,Advanced Apprenticeship,3,01,"Health, Public Services and Care",01.3,Health and Social Care,STEM - no,Health and Science,No
Standard,HM Forces Serviceperson (Public Services),108,ST0222,0,Intermediate Apprenticeship,2,01,"Health, Public Services and Care",01.4,Public Services,STEM - no,Protective Services,No
Standard,Early Years Practitioner,550,ST0888,0,Intermediate Apprenticeship,2,01,"Health, Public Services and Care",01.5,Child Development and Well Being,STEM - no,Education and Childcare,No
Framework,Business Administration,102,NA,0,Intermediate Apprenticeship,2,15,"Business, Administration and Law",15.2,Administration,STEM - no,No Route,No
Standard,Environmental Health Practitioner (Integrated Degree),464,ST0714,1,Higher Apprenticeship,6,01,"Health, Public Services and Care",01.3,Health and Social Care,STEM - no,Health and Science,Yes
Standard,Building Services Design Technician,178,ST0063,0,Advanced Apprenticeship,3,04,Engineering and Manufacturing Technologies,04.3,Transportation Operations and Maintenance,STEM - yes,Construction,No
Standard,Senior Leader,236,ST0480,1,Higher Apprenticeship,7,15,"Business, Administration and Law",15.3,Business Management,STEM - no,Business and Administration,No
Standard,"Children, Young People and Families Manager",308,ST0087,0,Higher Apprenticeship,5,01,"Health, Public Services and Care",01.3,Health and Social Care,STEM - no,Care Services,No
Standard,Compliance and Risk Officer,143,ST0362,0,Advanced Apprenticeship,3,15,"Business, Administration and Law",15.1,Accounting and Finance,STEM - no,"Legal, Finance and Accounting",No
Standard,Learning and Skills Teacher,402,ST0149,0,Higher Apprenticeship,5,13,Education and Training,13.1,Teaching and Lecturing,STEM - no,Education and Childcare,No
Standard,Optical Assistant,247,ST0530,0,Intermediate Apprenticeship,2,01,"Health, Public Services and Care",01.3,Health and Social Care,STEM - no,Health and Science,No
Standard,Plumbing and Domestic Heating Technician,225,ST0303,0,Advanced Apprenticeship,3,05,"Construction, Planning and the Built Environment",05.2,Building and Construction,STEM - yes,Construction,No
Standard,Retail Manager,147,ST0325,0,Higher Apprenticeship,4,07,Retail and Commercial Enterprise,07.1,Retailing and Wholesaling,STEM - no,"Sales, Marketing and Procurement",No
Standard,Civil Engineer (Degree),200,ST0417,1,Higher Apprenticeship,6,05,"Construction, Planning and the Built Environment",05.2,Building and Construction,STEM - yes,Construction,Yes
Standard,Cultural Learning and Participation Officer,407,ST0396,0,Advanced Apprenticeship,3,09,"Arts, Media and Publishing",09.2,"Crafts, Creative Arts and Design",STEM - no,Creative and Design,No
Standard,Land-Based Service Engineering Technician,70,ST0243,0,Advanced Apprenticeship,3,03,"Agriculture, Horticulture and Animal Care",03.1,Agriculture,STEM - no,"Agriculture, Environmental and Animal Care",No
Standard,Power Network Craftsperson,6,ST0156,0,Advanced Apprenticeship,3,04,Engineering and Manufacturing Technologies,04.1,Engineering,STEM - yes,Engineering and Manufacturing,No
Standard,Police Constable ( Integrated Degree),256,ST0304,1,Higher Apprenticeship,6,01,"Health, Public Services and Care",01.4,Public Services,STEM - no,Protective Services,Yes
Standard,Senior Production Chef,139,ST0232,0,Advanced Apprenticeship,3,07,Retail and Commercial Enterprise,07.4,Hospitality and Catering,STEM - no,Catering and Hospitality,No
Standard,Paralegal,42,ST0245,0,Advanced Apprenticeship,3,15,"Business, Administration and Law",15.5,Law and Legal Services,STEM - no,"Legal, Finance and Accounting",No
Standard,Accountancy or Taxation Professional,204,ST0001,1,Higher Apprenticeship,7,15,"Business, Administration and Law",15.1,Accounting and Finance,STEM - no,"Legal, Finance and Accounting",No
Standard,Carpentry and Joinery,239,ST0264,0,Intermediate Apprenticeship,2,05,"Construction, Planning and the Built Environment",05.2,Building and Construction,STEM - yes,Construction,No
Standard,Digital Engineering Technician,195,ST0266,0,Advanced Apprenticeship,3,05,"Construction, Planning and the Built Environment",05.2,Building and Construction,STEM - yes,Construction,No
Standard,"Children, Young People and Families Practitioner",309,ST0088,0,Higher Apprenticeship,4,01,"Health, Public Services and Care",01.3,Health and Social Care,STEM - no,Care Services,No
Standard,Engineering Operative,352,ST0537,0,Intermediate Apprenticeship,2,04,Engineering and Manufacturing Technologies,04.1,Engineering,STEM - yes,Engineering and Manufacturing,No
Standard,Digital Marketer,78,ST0122,0,Advanced Apprenticeship,3,06,Information and Communication Technology,06.1,ICT Practitioners,STEM - yes,"Sales, Marketing and Procurement",No
Standard,Business Administrator,196,ST0070,0,Advanced Apprenticeship,3,15,"Business, Administration and Law",15.2,Administration,STEM - no,Business and Administration,No
Standard,Hospitality Team Member,96,ST0233,0,Intermediate Apprenticeship,2,07,Retail and Commercial Enterprise,07.4,Hospitality and Catering,STEM - no,Catering and Hospitality,No
Standard,Professional Accounting or Taxation Technician,117,ST0003,0,Higher Apprenticeship,4,15,"Business, Administration and Law",15.1,Accounting and Finance,STEM - no,"Legal, Finance and Accounting",No
Standard,Large Goods Vehicle (LGV) Driver C + E,110,ST0257,0,Intermediate Apprenticeship,2,04,Engineering and Manufacturing Technologies,04.3,Transportation Operations and Maintenance,STEM - yes,Transport and Logistics,No
Standard,Security First Line Manager,367,ST0330,0,Advanced Apprenticeship,3,01,"Health, Public Services and Care",01.4,Public Services,STEM - no,Protective Services,No
Standard,HR Support,191,ST0239,0,Advanced Apprenticeship,3,15,"Business, Administration and Law",15.2,Administration,STEM - no,Business and Administration,No
Standard,Motor Vehicle Service and Maintenance Technician (Light Vehicle),59,ST0033,0,Advanced Apprenticeship,3,04,Engineering and Manufacturing Technologies,04.3,Transportation Operations and Maintenance,STEM - yes,Engineering and Manufacturing,No
Standard,Telecoms Field Operative,557,ST0832,0,Intermediate Apprenticeship,2,04,Engineering and Manufacturing Technologies,04.1,Engineering,STEM - yes,Construction,No
Standard,Teacher,203,ST0490,1,Higher Apprenticeship,6,13,Education and Training,13.1,Teaching and Lecturing,STEM - no,Education and Childcare,No
Standard,Lead Practitioner in Adult Care,551,ST0007,0,Higher Apprenticeship,4,01,"Health, Public Services and Care",01.1,Medicine and Dentistry,STEM - no,Care Services,No
Standard,Nursing Associate (NMC 2018),434,ST0827,0,Higher Apprenticeship,5,01,"Health, Public Services and Care",01.2,Nursing and Subjects and Vocations Allied to Medicine,STEM - no,Health and Science,No
Standard,Public Sector Compliance Investigator and Officer,420,ST0708,0,Advanced Apprenticeship,3,01,"Health, Public Services and Care",01.4,Public Services,STEM - no,Business and Administration,No
Standard,Engineering Technician,167,ST0457,0,Advanced Apprenticeship,3,04,Engineering and Manufacturing Technologies,04.1,Engineering,STEM - yes,Engineering and Manufacturing,No
Standard,Public Service Operational Delivery Officer,36,ST0314,0,Advanced Apprenticeship,3,01,"Health, Public Services and Care",01.4,Public Services,STEM - no,Business and Administration,No
Standard,Rail Engineering Operative,90,ST0317,0,Intermediate Apprenticeship,2,04,Engineering and Manufacturing Technologies,04.3,Transportation Operations and Maintenance,STEM - yes,Engineering and Manufacturing,No
Standard,Passenger Transport Onboard and Station Team Member,206,ST0339,0,Intermediate Apprenticeship,2,04,Engineering and Manufacturing Technologies,04.3,Transportation Operations and Maintenance,STEM - yes,Transport and Logistics,No
Standard,Advanced Clinical Practitioner (Integrated Degree),252,ST0564,1,Higher Apprenticeship,7,01,"Health, Public Services and Care",01.2,Nursing and Subjects and Vocations Allied to Medicine,STEM - no,Health and Science,Yes
Standard,Gas Engineering Operative,74,ST0155,0,Advanced Apprenticeship,3,04,Engineering and Manufacturing Technologies,04.1,Engineering,STEM - yes,Construction,No
Standard,Lean Manufacturing Operative,493,ST0420,0,Intermediate Apprenticeship,2,04,Engineering and Manufacturing Technologies,04.2,Manufacturing Technologies,STEM - yes,Engineering and Manufacturing,No
Standard,Supply Chain Warehouse Operative,111,ST0259,0,Intermediate Apprenticeship,2,07,Retail and Commercial Enterprise,07.2,Warehousing and Distribution,STEM - no,Transport and Logistics,No
Standard,Hair Professional,157,ST0213,0,Intermediate Apprenticeship,2,07,Retail and Commercial Enterprise,07.3,Service Enterprises,STEM - no,Hair and Beauty,No
Standard,Retailer,101,ST0327,0,Intermediate Apprenticeship,2,07,Retail and Commercial Enterprise,07.1,Retailing and Wholesaling,STEM - no,"Sales, Marketing and Procurement",No
Standard,Customer Service Specialist,278,ST0071,0,Advanced Apprenticeship,3,07,Retail and Commercial Enterprise,07.1,Retailing and Wholesaling,STEM - no,"Sales, Marketing and Procurement",No
Standard,Software Developer,2,ST0116,0,Higher Apprenticeship,4,06,Information and Communication Technology,06.2,ICT for Users,STEM - yes,Digital,No
Standard,Healthcare Support Worker,103,ST0216,0,Intermediate Apprenticeship,2,01,"Health, Public Services and Care",01.3,Health and Social Care,STEM - no,Health and Science,No
Standard,Utilities Engineering Technician,53,ST0159,0,Advanced Apprenticeship,3,04,Engineering and Manufacturing Technologies,04.1,Engineering,STEM - yes,Engineering and Manufacturing,No
Standard,Healthcare Science Associate,150,ST0220,0,Higher Apprenticeship,4,01,"Health, Public Services and Care",01.3,Health and Social Care,STEM - no,Health and Science,No
Standard,Metal Fabricator,399,ST0607,0,Advanced Apprenticeship,3,04,Engineering and Manufacturing Technologies,04.2,Manufacturing Technologies,STEM - yes,Engineering and Manufacturing,No
Standard,Learning and Development Practitioner,326,ST0562,0,Advanced Apprenticeship,3,13,Education and Training,13.1,Teaching and Lecturing,STEM - no,Business and Administration,No
Standard,Autocare Technician,283,ST0499,0,Intermediate Apprenticeship,2,04,Engineering and Manufacturing Technologies,04.3,Transportation Operations and Maintenance,STEM - yes,Engineering and Manufacturing,No
Standard,Accounts or Finance Assistant,488,ST0608,0,Intermediate Apprenticeship,2,15,"Business, Administration and Law",15.1,Accounting and Finance,STEM - no,"Legal, Finance and Accounting",No
Standard,"Ambulance Support Worker (Emergency, Urgent and Non-Urgent)",298,ST0627,0,Advanced Apprenticeship,3,01,"Health, Public Services and Care",01.4,Public Services,STEM - no,Health and Science,No
Standard,Leader in Adult Care,537,ST0008,0,Higher Apprenticeship,5,01,"Health, Public Services and Care",01.3,Health and Social Care,STEM - no,Care Services,No
Standard,Dual Fuel Smart Meter Installer,26,ST0158,0,Intermediate Apprenticeship,2,04,Engineering and Manufacturing Technologies,04.1,Engineering,STEM - yes,Construction,No
Standard,Emergency Service Contact Handling,262,ST0483,0,Advanced Apprenticeship,3,01,"Health, Public Services and Care",01.4,Public Services,STEM - no,Protective Services,No
Standard,Train Driver,285,ST0645,0,Advanced Apprenticeship,3,04,Engineering and Manufacturing Technologies,04.3,Transportation Operations and Maintenance,STEM - yes,Transport and Logistics,No
Standard,Advanced Carpentry and Joinery,240,ST0263,0,Advanced Apprenticeship,3,05,"Construction, Planning and the Built Environment",05.2,Building and Construction,STEM - yes,Construction,No
Standard,Product Design and Development Engineer (Degree),12,ST0027,1,Higher Apprenticeship,6,04,Engineering and Manufacturing Technologies,04.2,Manufacturing Technologies,STEM - yes,Engineering and Manufacturing,Yes
Standard,Senior Insurance Professional,205,ST0520,1,Higher Apprenticeship,6,15,"Business, Administration and Law",15.1,Accounting and Finance,STEM - no,"Legal, Finance and Accounting",No
Standard,Healthcare Assistant Practitioner,102,ST0215,0,Higher Apprenticeship,5,01,"Health, Public Services and Care",01.3,Health and Social Care,STEM - no,Health and Science,No
Standard,Insurance Practitioner,60,ST0240,0,Advanced Apprenticeship,3,15,"Business, Administration and Law",15.1,Accounting and Finance,STEM - no,"Legal, Finance and Accounting",No
Standard,Learning Mentor,403,ST0148,0,Advanced Apprenticeship,3,13,Education and Training,13.1,Teaching and Lecturing,STEM - no,Education and Childcare,No
Standard,Maintenance and Operations Engineering Technician,146,ST0154,0,Advanced Apprenticeship,3,05,"Construction, Planning and the Built Environment",05.2,Building and Construction,STEM - yes,Engineering and Manufacturing,No
Standard,Retail Team Leader,140,ST0326,0,Advanced Apprenticeship,3,07,Retail and Commercial Enterprise,07.1,Retailing and Wholesaling,STEM - no,"Sales, Marketing and Procurement",No
Standard,Internal Audit Professional,324,ST0610,1,Higher Apprenticeship,7,15,"Business, Administration and Law",15.3,Business Management,STEM - no,"Legal, Finance and Accounting",No
Standard,Cabin Crew,305,ST0558,0,Advanced Apprenticeship,3,08,"Leisure, Travel and Tourism",08.2,Travel and Tourism,STEM - no,Transport and Logistics,No
Standard,Solicitor,43,ST0246,1,Higher Apprenticeship,7,15,"Business, Administration and Law",15.5,Law and Legal Services,STEM - no,"Legal, Finance and Accounting",No
Standard,Junior Estate Agent,310,ST0329,0,Intermediate Apprenticeship,2,07,Retail and Commercial Enterprise,07.3,Service Enterprises,STEM - no,"Sales, Marketing and Procurement",No
Standard,Embedded Electronic Systems Design and Development Engineer (Degree),107,ST0151,1,Higher Apprenticeship,6,04,Engineering and Manufacturing Technologies,04.2,Manufacturing Technologies,STEM - yes,Engineering and Manufacturing,Yes
Standard,IT Solutions Technician,413,ST0505,0,Advanced Apprenticeship,3,06,Information and Communication Technology,06.1,ICT Practitioners,STEM - yes,Digital,No
Standard,Express Delivery Operative,338,ST0103,0,Intermediate Apprenticeship,2,07,Retail and Commercial Enterprise,07.2,Warehousing and Distribution,STEM - no,Transport and Logistics,No
Standard,Furniture Manufacturer,137,ST0203,0,Intermediate Apprenticeship,2,04,Engineering and Manufacturing Technologies,04.2,Manufacturing Technologies,STEM - yes,Engineering and Manufacturing,No
Framework,Management,260,NA,0,Advanced Apprenticeship,3,15,"Business, Administration and Law",15.3,Business Management,STEM - no,No Route,No
Standard,Sporting Excellence Professional,446,ST0524,0,Advanced Apprenticeship,3,08,"Leisure, Travel and Tourism",08.1,"Sport, Leisure and Recreation",STEM - no,Health and Science,No
Standard,Chartered Surveyor (Degree),50,ST0331,1,Higher Apprenticeship,6,05,"Construction, Planning and the Built Environment",05.2,Building and Construction,STEM - yes,Construction,Yes
Standard,Registered Nurse Degree (NMC 2018),409,ST0781,1,Higher Apprenticeship,6,01,"Health, Public Services and Care",01.2,Nursing and Subjects and Vocations Allied to Medicine,STEM - no,Health and Science,Yes
Standard,Associate Ambulance Practitioner,156,ST0287,0,Higher Apprenticeship,4,01,"Health, Public Services and Care",01.3,Health and Social Care,STEM - no,Health and Science,No
Standard,Paramedic (Integrated Degree),318,ST0567,1,Higher Apprenticeship,6,01,"Health, Public Services and Care",01.2,Nursing and Subjects and Vocations Allied to Medicine,STEM - no,Health and Science,Yes
Standard,Engineering Fitter,377,ST0432,0,Advanced Apprenticeship,3,04,Engineering and Manufacturing Technologies,04.1,Engineering,STEM - yes,Engineering and Manufacturing,No
Framework,Business Administration,102,NA,0,Higher Apprenticeship,4,15,"Business, Administration and Law",15.2,Administration,STEM - no,No Route,No
Standard,Occupational Therapist (Integrated Degree),391,ST0517,1,Higher Apprenticeship,6,01,"Health, Public Services and Care",01.2,Nursing and Subjects and Vocations Allied to Medicine,STEM - no,Health and Science,Yes
Standard,Pharmacy Services Assistant,396,ST0299,0,Intermediate Apprenticeship,2,01,"Health, Public Services and Care",01.3,Health and Social Care,STEM - no,Health and Science,No
Standard,Commis Chef,93,ST0228,0,Intermediate Apprenticeship,2,07,Retail and Commercial Enterprise,07.4,Hospitality and Catering,STEM - no,Catering and Hospitality,No
Standard,Custody and Detention Officer,269,ST0386,0,Advanced Apprenticeship,3,01,"Health, Public Services and Care",01.4,Public Services,STEM - no,Protective Services,No
Standard,Insurance Professional,63,ST0241,0,Higher Apprenticeship,4,15,"Business, Administration and Law",15.1,Accounting and Finance,STEM - no,"Legal, Finance and Accounting",No
Framework,Engineering,106,NA,0,Advanced Apprenticeship,3,04,Engineering and Manufacturing Technologies,04.2,Manufacturing Technologies,STEM - yes,No Route,No
Standard,Data Technician,576,ST0795,0,Advanced Apprenticeship,3,06,Information and Communication Technology,06.1,ICT Practitioners,STEM - yes,Digital,No
Standard,Chartered Town Planner (Degree),424,ST0536,1,Higher Apprenticeship,7,05,"Construction, Planning and the Built Environment",05.3,"Urban, Rural and Regional Planning",STEM - yes,Construction,Yes
Standard,Assessor Coach,401,ST0146,0,Higher Apprenticeship,4,13,Education and Training,13.1,Teaching and Lecturing,STEM - no,Education and Childcare,No
Standard,Facilities Management Supervisor,162,ST0170,0,Advanced Apprenticeship,3,07,Retail and Commercial Enterprise,07.3,Service Enterprises,STEM - no,Construction,No
Standard,Aerospace Engineer (Degree),37,ST0010,1,Higher Apprenticeship,6,04,Engineering and Manufacturing Technologies,04.1,Engineering,STEM - yes,Engineering and Manufacturing,Yes
Standard,Nursing Associate,208,ST0508,0,Higher Apprenticeship,5,01,"Health, Public Services and Care",01.3,Health and Social Care,STEM - no,Health and Science,No
Standard,Hospitality Supervisor,138,ST0230,0,Advanced Apprenticeship,3,07,Retail and Commercial Enterprise,07.4,Hospitality and Catering,STEM - no,Catering and Hospitality,No
Standard,Post Graduate Engineer,166,ST0456,1,Higher Apprenticeship,7,04,Engineering and Manufacturing Technologies,04.1,Engineering,STEM - yes,Engineering and Manufacturing,No
Standard,Improvement Technician,238,ST0193,0,Advanced Apprenticeship,3,04,Engineering and Manufacturing Technologies,04.1,Engineering,STEM - yes,Business and Administration,No
Standard,Horticulture or Landscape Operative,181,ST0225,0,Intermediate Apprenticeship,2,03,"Agriculture, Horticulture and Animal Care",03.2,Horticulture and Forestry,STEM - no,"Agriculture, Environmental and Animal Care",No
Standard,Advertising and Media Executive,373,ST0644,0,Advanced Apprenticeship,3,09,"Arts, Media and Publishing",09.3,Media and Communication,STEM - no,"Sales, Marketing and Procurement",No
Standard,Bicycle Mechanic,339,ST0622,0,Intermediate Apprenticeship,2,04,Engineering and Manufacturing Technologies,04.3,Transportation Operations and Maintenance,STEM - yes,Engineering and Manufacturing,No
Standard,Food Industry Technical Professional (Integrated Degree),184,ST0197,1,Higher Apprenticeship,6,02,Science and Mathematics,02.1,Science,STEM - yes,Health and Science,Yes
Standard,Community Sport and Health Officer,251,ST0093,0,Advanced Apprenticeship,3,08,"Leisure, Travel and Tourism",08.1,"Sport, Leisure and Recreation",STEM - no,Health and Science,No
Standard,Operational Firefighter,241,ST0486,0,Advanced Apprenticeship,3,01,"Health, Public Services and Care",01.4,Public Services,STEM - no,Protective Services,No
Standard,Business Analyst,165,ST0117,0,Higher Apprenticeship,4,06,Information and Communication Technology,06.1,ICT Practitioners,STEM - yes,Digital,No
Standard,Commercial Procurement and Supply (Formerly Public Sector Commercial Professional),222,ST0313,0,Higher Apprenticeship,4,15,"Business, Administration and Law",15.1,Accounting and Finance,STEM - no,"Sales, Marketing and Procurement",No
Standard,Financial Services Customer Adviser,28,ST0178,0,Intermediate Apprenticeship,2,15,"Business, Administration and Law",15.1,Accounting and Finance,STEM - no,"Legal, Finance and Accounting",No
Standard,Trade Supplier,261,ST0334,0,Intermediate Apprenticeship,2,07,Retail and Commercial Enterprise,07.1,Retailing and Wholesaling,STEM - no,"Sales, Marketing and Procurement",No
Standard,Boatbuilder,76,ST0059,0,Advanced Apprenticeship,3,04,Engineering and Manufacturing Technologies,04.2,Manufacturing Technologies,STEM - yes,Engineering and Manufacturing,No
Standard,Metrology Technician,187,ST0282,0,Advanced Apprenticeship,3,04,Engineering and Manufacturing Technologies,04.2,Manufacturing Technologies,STEM - yes,Health and Science,No
Standard,Highways Maintenance Skilled Operative,336,ST0053,0,Intermediate Apprenticeship,2,05,"Construction, Planning and the Built Environment",05.2,Building and Construction,STEM - yes,Construction,No
Standard,Refrigeration Air Conditioning and Heat Pump Engineering Technician,49,ST0322,0,Advanced Apprenticeship,3,04,Engineering and Manufacturing Technologies,04.1,Engineering,STEM - yes,Construction,No
Standard,Veterinary Nurse,333,ST0343,0,Advanced Apprenticeship,3,03,"Agriculture, Horticulture and Animal Care",03.3,Animal Care and Veterinary Science,STEM - no,"Agriculture, Environmental and Animal Care",No
Standard,Engineering Manufacturing Technician,523,ST0841,0,Higher Apprenticeship,4,04,Engineering and Manufacturing Technologies,04.2,Manufacturing Technologies,STEM - yes,Engineering and Manufacturing,No
Standard,Improvement Specialist,375,ST0555,0,Higher Apprenticeship,5,15,"Business, Administration and Law",15.3,Business Management,STEM - no,Business and Administration,No
Standard,Groundworker,388,ST0513,0,Intermediate Apprenticeship,2,05,"Construction, Planning and the Built Environment",05.2,Building and Construction,STEM - yes,Construction,No
Standard,Unified Communications Technician,155,ST0130,0,Advanced Apprenticeship,3,06,Information and Communication Technology,06.1,ICT Practitioners,STEM - yes,Digital,No
Standard,Arborist,180,ST0223,0,Intermediate Apprenticeship,2,03,"Agriculture, Horticulture and Animal Care",03.2,Horticulture and Forestry,STEM - no,"Agriculture, Environmental and Animal Care",No
Standard,Countryside Worker,543,ST0408,0,Intermediate Apprenticeship,2,03,"Agriculture, Horticulture and Animal Care",03.4,Environmental Conservation,STEM - no,"Agriculture, Environmental and Animal Care",No
Standard,Facilities Manager,266,ST0484,0,Higher Apprenticeship,4,07,Retail and Commercial Enterprise,07.3,Service Enterprises,STEM - no,Construction,No
Standard,Senior Financial Services Customer Adviser,31,ST0185,0,Advanced Apprenticeship,3,15,"Business, Administration and Law",15.1,Accounting and Finance,STEM - no,"Legal, Finance and Accounting",No
Standard,Revenues and Welfare Benefits Practitioner,320,ST0602,0,Higher Apprenticeship,4,01,"Health, Public Services and Care",01.4,Public Services,STEM - no,Business and Administration,No
Standard,Personal Trainer,321,ST0302,0,Advanced Apprenticeship,3,08,"Leisure, Travel and Tourism",08.1,"Sport, Leisure and Recreation",STEM - no,Health and Science,No
Standard,Pipe Welder,487,ST0851,0,Advanced Apprenticeship,3,04,Engineering and Manufacturing Technologies,04.1,Engineering,STEM - yes,Engineering and Manufacturing,No
Framework,Industrial Applications,283,NA,0,Intermediate Apprenticeship,2,04,Engineering and Manufacturing Technologies,04.2,Manufacturing Technologies,STEM - yes,No Route,No
Standard,Housing and Property Management,65,ST0234,0,Advanced Apprenticeship,3,01,"Health, Public Services and Care",01.4,Public Services,STEM - no,"Sales, Marketing and Procurement",No
Standard,Advanced Beauty Therapist,563,ST0211,0,Advanced Apprenticeship,3,07,Retail and Commercial Enterprise,07.3,Service Enterprises,STEM - no,Hair and Beauty,No
Standard,Project Manager (Integrated Degree),291,ST0411,1,Higher Apprenticeship,6,15,"Business, Administration and Law",15.3,Business Management,STEM - no,Business and Administration,Yes
Framework,Children's Care Learning and Development,104,NA,0,Advanced Apprenticeship,3,01,"Health, Public Services and Care",01.5,Child Development and Well Being,STEM - no,No Route,No
Standard,Hospitality Manager,223,ST0229,0,Higher Apprenticeship,4,07,Retail and Commercial Enterprise,07.4,Hospitality and Catering,STEM - no,Catering and Hospitality,No
Standard,Outdoor Activity Instructor,351,ST0479,0,Advanced Apprenticeship,3,08,"Leisure, Travel and Tourism",08.1,"Sport, Leisure and Recreation",STEM - no,Health and Science,No
Standard,Aviation Maintenance Mechanic (Military),141,ST0014,0,Intermediate Apprenticeship,2,04,Engineering and Manufacturing Technologies,04.1,Engineering,STEM - yes,Engineering and Manufacturing,No
Standard,Coaching Professional,555,ST0809,0,Higher Apprenticeship,5,15,"Business, Administration and Law",15.3,Business Management,STEM - no,Business and Administration,No
Standard,Financial Services Professional,213,ST0472,1,Higher Apprenticeship,6,15,"Business, Administration and Law",15.1,Accounting and Finance,STEM - no,"Legal, Finance and Accounting",No
Standard,Painter and Decorator,290,ST0295,0,Intermediate Apprenticeship,2,05,"Construction, Planning and the Built Environment",05.2,Building and Construction,STEM - yes,Construction,No
