inspection_id,inspection_category,score,score_description
ITS385049,Leadership and management,2,Good
ITS434393,Overall effectiveness,2,Good
ITS434393,Leadership and management,2,Good
ITS434393,Apprenticeships,1,Outstanding
10004868,Is safeguarding effective,1,Yes
10004868,Overall effectiveness,2,Good
10004868,Leadership and management,2,Good
ITS423412,Overall effectiveness,2,Good
ITS423412,Leadership and management,2,Good
10090580,Is safeguarding effective,1,Yes
10090580,Overall effectiveness,2,Good
10090580,Leadership and management,2,Good
10090580,Apprenticeships,3,Requires improvement
ITS387971,Overall effectiveness,2,Good
ITS387971,Leadership and management,2,Good
10041159,Is safeguarding effective,1,Yes
10041159,Overall effectiveness,2,Good
10041159,Leadership and management,2,Good
ITS366030,Overall effectiveness,2,Good
ITS366030,Leadership and management,2,Good
10122918,Is safeguarding effective,1,Yes
10122918,Overall effectiveness,3,Requires improvement
10122918,Quality of education,3,Requires improvement
10122918,Behaviour and attitudes,2,Good
10122918,Personal development,2,Good
10122918,Leadership and management,3,Requires improvement
10011468,Is safeguarding effective,1,Yes
10011468,Overall effectiveness,2,Good
10011468,Leadership and management,2,Good
ITS424453,Overall effectiveness,2,Good
ITS424453,Leadership and management,2,Good
ITS424453,Apprenticeships,2,Good
10121810,Is safeguarding effective,1,Yes
10121810,Overall effectiveness,2,Good
10121810,Quality of education,2,Good
10121810,Behaviour and attitudes,2,Good
10121810,Personal development,2,Good
10121810,Leadership and management,2,Good
10121810,Apprenticeships,2,Good
10043305,Is safeguarding effective,1,Yes
10043305,Overall effectiveness,3,Requires improvement
10043305,Leadership and management,3,Requires improvement
10043305,Apprenticeships,3,Requires improvement
10004873,Is safeguarding effective,1,Yes
10004873,Overall effectiveness,2,Good
10004873,Leadership and management,2,Good
10004873,Apprenticeships,2,Good
10078051,Is safeguarding effective,1,Yes
10078051,Overall effectiveness,1,Outstanding
10078051,Leadership and management,1,Outstanding
10004875,Is safeguarding effective,1,Yes
10004875,Overall effectiveness,2,Good
10004875,Leadership and management,2,Good
ITS455577,Overall effectiveness,2,Good
ITS455577,Leadership and management,2,Good
ITS455577,Apprenticeships,2,Good
ITS410660,Overall effectiveness,2,Good
ITS410660,Leadership and management,2,Good
ITS410660,Apprenticeships,2,Good
ITS366061,Overall effectiveness,2,Good
ITS366061,Leadership and management,2,Good
ITS429297,Overall effectiveness,2,Good
ITS429297,Leadership and management,2,Good
10090614,Is safeguarding effective,1,Yes
10090614,Overall effectiveness,2,Good
10090614,Leadership and management,2,Good
10090614,Apprenticeships,2,Good
ITS408489,Overall effectiveness,2,Good
ITS408489,Leadership and management,2,Good
ITS408489,Apprenticeships,2,Good
10011469,Is safeguarding effective,1,Yes
10011469,Overall effectiveness,2,Good
10011469,Leadership and management,2,Good
10011469,Apprenticeships,2,Good
10030789,Is safeguarding effective,1,Yes
10030789,Overall effectiveness,2,Good
10030789,Leadership and management,2,Good
10030789,Apprenticeships,2,Good
10004879,Is safeguarding effective,1,Yes
10004879,Overall effectiveness,1,Outstanding
10004879,Leadership and management,1,Outstanding
10004880,Is safeguarding effective,1,Yes
10004880,Overall effectiveness,1,Outstanding
10004880,Leadership and management,1,Outstanding
10078057,Is safeguarding effective,1,Yes
10078057,Overall effectiveness,3,Requires improvement
10078057,Leadership and management,3,Requires improvement
10004881,Is safeguarding effective,1,Yes
10004881,Overall effectiveness,2,Good
10004881,Leadership and management,2,Good
10004881,Apprenticeships,2,Good
ITS320128,Overall effectiveness,1,Outstanding
ITS320128,Leadership and management,1,Outstanding
ITS375546,Overall effectiveness,1,Outstanding
ITS375546,Leadership and management,1,Outstanding
ITS429276,Overall effectiveness,2,Good
ITS429276,Leadership and management,2,Good
ITS455578,Overall effectiveness,2,Good
ITS455578,Leadership and management,2,Good
ITS455578,Apprenticeships,2,Good
10123035,Is safeguarding effective,1,Yes
10123035,Overall effectiveness,3,Requires improvement
10123035,Quality of education,3,Requires improvement
10123035,Behaviour and attitudes,2,Good
10123035,Personal development,3,Requires improvement
10123035,Leadership and management,3,Requires improvement
10123035,Apprenticeships,3,Requires improvement
ITS452977,Overall effectiveness,2,Good
ITS452977,Leadership and management,2,Good
ITS452977,Apprenticeships,2,Good
ITS345916,Overall effectiveness,1,Outstanding
ITS345916,Leadership and management,2,Good
10078058,Is safeguarding effective,1,Yes
10078058,Overall effectiveness,2,Good
10078058,Leadership and management,2,Good
10078058,Apprenticeships,2,Good
10054539,Is safeguarding effective,1,Yes
10054539,Overall effectiveness,2,Good
10054539,Leadership and management,2,Good
ITS404581,Overall effectiveness,2,Good
ITS404581,Leadership and management,2,Good
ITS404581,Apprenticeships,2,Good
10004883,Is safeguarding effective,1,Yes
10004883,Overall effectiveness,1,Outstanding
10004883,Leadership and management,1,Outstanding
ITS446037,Overall effectiveness,2,Good
ITS446037,Leadership and management,2,Good
ITS446037,Apprenticeships,2,Good
10046747,Is safeguarding effective,1,Yes
10046747,Overall effectiveness,2,Good
10046747,Leadership and management,2,Good
10046747,Apprenticeships,2,Good
ITS343845,Overall effectiveness,2,Good
ITS343845,Leadership and management,2,Good
10078059,Is safeguarding effective,1,Yes
10078059,Overall effectiveness,2,Good
10078059,Leadership and management,2,Good
10054540,Is safeguarding effective,1,Yes
10054540,Overall effectiveness,2,Good
10054540,Leadership and management,2,Good
10004888,Is safeguarding effective,1,Yes
10004888,Overall effectiveness,2,Good
10004888,Leadership and management,2,Good
10039585,Is safeguarding effective,1,Yes
10039585,Overall effectiveness,2,Good
10039585,Leadership and management,2,Good
10039585,Apprenticeships,2,Good
10030744,Is safeguarding effective,1,Yes
10030744,Overall effectiveness,2,Good
10030744,Leadership and management,2,Good
ITS429146,Overall effectiveness,2,Good
ITS429146,Leadership and management,2,Good
ITS429146,Apprenticeships,2,Good
10030671,Is safeguarding effective,1,Yes
10030671,Overall effectiveness,2,Good
10030671,Leadership and management,2,Good
10030671,Apprenticeships,2,Good
10030676,Is safeguarding effective,1,Yes
10030676,Overall effectiveness,2,Good
10030676,Leadership and management,2,Good
ITS333091,Overall effectiveness,2,Good
ITS333091,Leadership and management,3,Requires improvement
10004892,Is safeguarding effective,1,Yes
10004892,Overall effectiveness,2,Good
10004892,Leadership and management,2,Good
ITS317802,Overall effectiveness,1,Outstanding
ITS317802,Leadership and management,1,Outstanding
10108213,Is safeguarding effective,1,Yes
10108213,Overall effectiveness,2,Good
10108213,Leadership and management,2,Good
10108213,Apprenticeships,2,Good
10123081,Is safeguarding effective,1,Yes
10123081,Overall effectiveness,3,Requires improvement
10123081,Quality of education,3,Requires improvement
10123081,Behaviour and attitudes,3,Requires improvement
10123081,Personal development,3,Requires improvement
10123081,Leadership and management,3,Requires improvement
10123081,Apprenticeships,2,Good
10146998,Is safeguarding effective,1,Yes
10146998,Overall effectiveness,3,Requires improvement
10146998,Quality of education,3,Requires improvement
10146998,Behaviour and attitudes,2,Good
10146998,Personal development,3,Requires improvement
10146998,Leadership and management,3,Requires improvement
ITS342353,Overall effectiveness,2,Good
ITS342353,Leadership and management,2,Good
10022580,Is safeguarding effective,1,Yes
10022580,Overall effectiveness,1,Outstanding
10022580,Leadership and management,1,Outstanding
10022580,Apprenticeships,1,Outstanding
10109424,Is safeguarding effective,1,Yes
10109424,Overall effectiveness,2,Good
10109424,Quality of education,2,Good
10109424,Behaviour and attitudes,2,Good
10109424,Personal development,2,Good
10109424,Leadership and management,2,Good
10109424,Apprenticeships,2,Good
10030745,Is safeguarding effective,1,Yes
10030745,Overall effectiveness,2,Good
10030745,Leadership and management,2,Good
ITS363131,Overall effectiveness,2,Good
ITS363131,Leadership and management,2,Good
10022565,Is safeguarding effective,1,Yes
10022565,Overall effectiveness,2,Good
10022565,Leadership and management,2,Good
10011473,Is safeguarding effective,1,Yes
10011473,Overall effectiveness,2,Good
10011473,Leadership and management,2,Good
10011473,Apprenticeships,2,Good
10004899,Is safeguarding effective,1,Yes
10004899,Overall effectiveness,2,Good
10004899,Leadership and management,2,Good
10004899,Apprenticeships,2,Good
10008484,Is safeguarding effective,1,Yes
10008484,Overall effectiveness,2,Good
10008484,Leadership and management,2,Good
10128116,Is safeguarding effective,1,Yes
10128116,Overall effectiveness,2,Good
10128116,Quality of education,2,Good
10128116,Behaviour and attitudes,2,Good
10128116,Personal development,2,Good
10128116,Leadership and management,2,Good
10128116,Apprenticeships,2,Good
ITS429087,Overall effectiveness,2,Good
ITS429087,Leadership and management,2,Good
10041121,Is safeguarding effective,1,Yes
10041121,Overall effectiveness,3,Requires improvement
10041121,Leadership and management,3,Requires improvement
10041121,Apprenticeships,3,Requires improvement
ITS429261,Overall effectiveness,2,Good
ITS429261,Leadership and management,2,Good
ITS429261,Apprenticeships,2,Good
ITS366052,Overall effectiveness,2,Good
ITS366052,Leadership and management,2,Good
10030785,Is safeguarding effective,1,Yes
10030785,Overall effectiveness,1,Outstanding
10030785,Leadership and management,1,Outstanding
10030785,Apprenticeships,1,Outstanding
10166320,Is safeguarding effective,1,Yes
10166320,Overall effectiveness,2,Good
10166320,Quality of education,2,Good
10166320,Behaviour and attitudes,2,Good
10166320,Personal development,2,Good
10166320,Leadership and management,2,Good
10166320,Apprenticeships,2,Good
10004903,Is safeguarding effective,1,Yes
10004903,Overall effectiveness,2,Good
10004903,Leadership and management,2,Good
10004903,Apprenticeships,2,Good
10054542,Is safeguarding effective,1,Yes
10054542,Overall effectiveness,2,Good
10054542,Leadership and management,2,Good
ITS430293,Overall effectiveness,2,Good
ITS430293,Leadership and management,2,Good
10004904,Is safeguarding effective,1,Yes
10004904,Overall effectiveness,2,Good
10004904,Leadership and management,2,Good
10004904,Apprenticeships,2,Good
ITS423414,Overall effectiveness,2,Good
ITS423414,Leadership and management,2,Good
ITS366023,Overall effectiveness,1,Outstanding
ITS366023,Leadership and management,1,Outstanding
10037411,Is safeguarding effective,1,Yes
10037411,Overall effectiveness,2,Good
10037411,Leadership and management,2,Good
10037411,Apprenticeships,2,Good
10041162,Is safeguarding effective,1,Yes
10041162,Overall effectiveness,2,Good
10041162,Leadership and management,2,Good
ITS342709,Overall effectiveness,2,Good
ITS342709,Leadership and management,2,Good
10004907,Is safeguarding effective,1,Yes
10004907,Overall effectiveness,2,Good
10004907,Leadership and management,2,Good
10004907,Apprenticeships,2,Good
ITS388117,Overall effectiveness,2,Good
ITS388117,Leadership and management,2,Good
ITS375501,Overall effectiveness,2,Good
ITS375501,Leadership and management,2,Good
ITS342603,Overall effectiveness,1,Outstanding
ITS342603,Leadership and management,1,Outstanding
ITS434401,Overall effectiveness,2,Good
ITS434401,Leadership and management,2,Good
ITS429106,Overall effectiveness,1,Outstanding
ITS429106,Leadership and management,1,Outstanding
ITS410631,Overall effectiveness,2,Good
ITS410631,Leadership and management,2,Good
ITS452601,Overall effectiveness,2,Good
ITS452601,Leadership and management,2,Good
ITS452601,Apprenticeships,2,Good
10004910,Is safeguarding effective,1,Yes
10004910,Overall effectiveness,2,Good
10004910,Leadership and management,2,Good
10004910,Apprenticeships,2,Good
10054735,Is safeguarding effective,1,Yes
10054735,Overall effectiveness,3,Requires improvement
10054735,Leadership and management,3,Requires improvement
10054735,Apprenticeships,3,Requires improvement
10030658,Is safeguarding effective,1,Yes
10030658,Overall effectiveness,2,Good
10030658,Leadership and management,2,Good
10030658,Apprenticeships,2,Good
ITS366036,Overall effectiveness,2,Good
ITS366036,Leadership and management,2,Good
10022538,Is safeguarding effective,1,Yes
10022538,Overall effectiveness,2,Good
10022538,Leadership and management,2,Good
ITS408483,Overall effectiveness,2,Good
ITS408483,Leadership and management,2,Good
ITS452602,Overall effectiveness,1,Outstanding
ITS452602,Leadership and management,1,Outstanding
10090583,Is safeguarding effective,1,Yes
10090583,Overall effectiveness,2,Good
10090583,Leadership and management,2,Good
ITS429088,Overall effectiveness,2,Good
ITS429088,Leadership and management,2,Good
10099446,Is safeguarding effective,1,Yes
10099446,Overall effectiveness,3,Requires improvement
10099446,Leadership and management,3,Requires improvement
10099446,Apprenticeships,3,Requires improvement
10011477,Is safeguarding effective,1,Yes
10011477,Overall effectiveness,2,Good
10011477,Leadership and management,2,Good
10011477,Apprenticeships,2,Good
ITS354462,Overall effectiveness,2,Good
ITS354462,Leadership and management,2,Good
10123143,Is safeguarding effective,1,Yes
10123143,Overall effectiveness,2,Good
10123143,Quality of education,2,Good
10123143,Behaviour and attitudes,2,Good
10123143,Personal development,2,Good
10123143,Leadership and management,2,Good
10123143,Apprenticeships,2,Good
10004915,Is safeguarding effective,1,Yes
10004915,Overall effectiveness,1,Outstanding
10004915,Leadership and management,1,Outstanding
10041138,Is safeguarding effective,1,Yes
10041138,Overall effectiveness,2,Good
10041138,Leadership and management,2,Good
10041138,Apprenticeships,2,Good
ITS433754,Overall effectiveness,2,Good
ITS433754,Leadership and management,2,Good
ITS433754,Apprenticeships,2,Good
ITS366057,Overall effectiveness,1,Outstanding
ITS366057,Leadership and management,1,Outstanding
10030778,Is safeguarding effective,1,Yes
10030778,Overall effectiveness,2,Good
10030778,Leadership and management,2,Good
10030778,Apprenticeships,2,Good
ITS343968,Overall effectiveness,2,Good
ITS343968,Leadership and management,2,Good
10017525,Is safeguarding effective,1,Yes
10017525,Overall effectiveness,2,Good
10017525,Leadership and management,2,Good
ITS395225,Overall effectiveness,2,Good
ITS395225,Leadership and management,2,Good
ITS345944,Overall effectiveness,1,Outstanding
ITS345944,Leadership and management,1,Outstanding
ITS376245,Overall effectiveness,2,Good
ITS376245,Leadership and management,2,Good
10054543,Is safeguarding effective,1,Yes
10054543,Overall effectiveness,3,Requires improvement
10054543,Leadership and management,3,Requires improvement
10054717,Is safeguarding effective,1,Yes
10054717,Overall effectiveness,2,Good
10054717,Leadership and management,2,Good
10054717,Apprenticeships,2,Good
ITS354461,Overall effectiveness,2,Good
ITS354461,Leadership and management,2,Good
ITS452603,Overall effectiveness,2,Good
ITS452603,Leadership and management,2,Good
ITS452603,Apprenticeships,2,Good
ITS363205,Overall effectiveness,1,Outstanding
ITS363205,Leadership and management,1,Outstanding
ITS388118,Overall effectiveness,2,Good
ITS388118,Leadership and management,1,Outstanding
ITS445774,Overall effectiveness,2,Good
ITS445774,Leadership and management,2,Good
ITS445774,Apprenticeships,2,Good
10041163,Is safeguarding effective,1,Yes
10041163,Overall effectiveness,2,Good
10041163,Leadership and management,2,Good
ITS363232,Overall effectiveness,1,Outstanding
ITS363232,Leadership and management,1,Outstanding
ITS424454,Overall effectiveness,2,Good
ITS424454,Leadership and management,2,Good
ITS424454,Apprenticeships,2,Good
ITS354322,Overall effectiveness,2,Good
ITS354322,Leadership and management,2,Good
ITS410632,Overall effectiveness,2,Good
ITS410632,Leadership and management,1,Outstanding
10041164,Is safeguarding effective,1,Yes
10041164,Overall effectiveness,2,Good
10041164,Leadership and management,2,Good
ITS423416,Overall effectiveness,2,Good
ITS423416,Leadership and management,2,Good
ITS424455,Overall effectiveness,1,Outstanding
ITS424455,Leadership and management,1,Outstanding
ITS424455,Apprenticeships,1,Outstanding
10030779,Is safeguarding effective,1,Yes
10030779,Overall effectiveness,2,Good
10030779,Leadership and management,2,Good
10030779,Apprenticeships,2,Good
ITS385483,Overall effectiveness,2,Good
ITS385483,Leadership and management,2,Good
ITS385483,Apprenticeships,2,Good
10005137,Is safeguarding effective,1,Yes
10005137,Overall effectiveness,1,Outstanding
10005137,Leadership and management,1,Outstanding
10005137,Apprenticeships,1,Outstanding
10046752,Is safeguarding effective,1,Yes
10046752,Overall effectiveness,2,Good
10046752,Leadership and management,2,Good
10011566,Is safeguarding effective,1,Yes
10011566,Overall effectiveness,2,Good
10011566,Leadership and management,2,Good
10011566,Apprenticeships,2,Good
10109421,Is safeguarding effective,1,Yes
10109421,Overall effectiveness,2,Good
10109421,Quality of education,2,Good
10109421,Behaviour and attitudes,2,Good
10109421,Personal development,2,Good
10109421,Leadership and management,2,Good
10109421,Apprenticeships,2,Good
10011484,Is safeguarding effective,1,Yes
10011484,Overall effectiveness,2,Good
10011484,Leadership and management,2,Good
10011484,Apprenticeships,2,Good
ITS343956,Overall effectiveness,2,Good
ITS343956,Leadership and management,2,Good
10054598,Is safeguarding effective,1,Yes
10054598,Overall effectiveness,3,Requires improvement
10054598,Leadership and management,3,Requires improvement
10054598,Apprenticeships,2,Good
ITS423753,Overall effectiveness,2,Good
ITS423753,Leadership and management,2,Good
ITS423753,Apprenticeships,2,Good
10030659,Is safeguarding effective,1,Yes
10030659,Overall effectiveness,2,Good
10030659,Leadership and management,2,Good
10109422,Is safeguarding effective,1,Yes
10109422,Overall effectiveness,3,Requires improvement
10109422,Quality of education,3,Requires improvement
10109422,Behaviour and attitudes,3,Requires improvement
10109422,Personal development,3,Requires improvement
10109422,Leadership and management,3,Requires improvement
10109422,Apprenticeships,3,Requires improvement
ITS429272,Overall effectiveness,2,Good
ITS429272,Leadership and management,2,Good
ITS429272,Apprenticeships,2,Good
ITS404569,Overall effectiveness,2,Good
ITS404569,Leadership and management,2,Good
ITS404569,Apprenticeships,2,Good
ITS445775,Overall effectiveness,2,Good
ITS445775,Leadership and management,2,Good
ITS445775,Apprenticeships,2,Good
ITS408520,Overall effectiveness,2,Good
ITS408520,Leadership and management,2,Good
ITS408520,Apprenticeships,2,Good
10004933,Is safeguarding effective,1,Yes
10004933,Overall effectiveness,2,Good
10004933,Leadership and management,1,Outstanding
10004933,Apprenticeships,2,Good
10037412,Is safeguarding effective,1,Yes
10037412,Overall effectiveness,2,Good
10037412,Leadership and management,2,Good
10037412,Apprenticeships,2,Good
ITS343654,Overall effectiveness,2,Good
ITS343654,Leadership and management,2,Good
10123086,Is safeguarding effective,1,Yes
10123086,Overall effectiveness,2,Good
10123086,Quality of education,2,Good
10123086,Behaviour and attitudes,2,Good
10123086,Personal development,2,Good
10123086,Leadership and management,2,Good
ITS399144,Overall effectiveness,2,Good
ITS399144,Leadership and management,2,Good
ITS404563,Overall effectiveness,2,Good
ITS404563,Leadership and management,2,Good
ITS404563,Apprenticeships,2,Good
ITS388119,Overall effectiveness,2,Good
ITS388119,Leadership and management,2,Good
10004937,Is safeguarding effective,1,Yes
10004937,Overall effectiveness,2,Good
10004937,Leadership and management,2,Good
10004937,Apprenticeships,2,Good
10054711,Is safeguarding effective,1,Yes
10054711,Overall effectiveness,2,Good
10054711,Leadership and management,2,Good
10054711,Apprenticeships,2,Good
10020162,Is safeguarding effective,1,Yes
10020162,Overall effectiveness,2,Good
10020162,Leadership and management,2,Good
10020162,Apprenticeships,2,Good
10030747,Is safeguarding effective,1,Yes
10030747,Overall effectiveness,2,Good
10030747,Leadership and management,2,Good
10119964,Is safeguarding effective,1,Yes
10119964,Overall effectiveness,2,Good
10119964,Quality of education,2,Good
10119964,Behaviour and attitudes,2,Good
10119964,Personal development,2,Good
10119964,Leadership and management,2,Good
10119964,Apprenticeships,3,Requires improvement
10081660,Is safeguarding effective,1,Yes
10081660,Overall effectiveness,2,Good
10081660,Leadership and management,2,Good
10081660,Apprenticeships,2,Good
10030708,Is safeguarding effective,1,Yes
10030708,Overall effectiveness,3,Requires improvement
10030708,Leadership and management,3,Requires improvement
10041165,Is safeguarding effective,1,Yes
10041165,Overall effectiveness,2,Good
10041165,Leadership and management,2,Good
10041165,Apprenticeships,2,Good
ITS429111,Overall effectiveness,2,Good
ITS429111,Leadership and management,2,Good
ITS429111,Apprenticeships,2,Good
10109413,Is safeguarding effective,1,Yes
10109413,Overall effectiveness,2,Good
10109413,Quality of education,2,Good
10109413,Behaviour and attitudes,2,Good
10109413,Personal development,2,Good
10109413,Leadership and management,2,Good
10004945,Is safeguarding effective,1,Yes
10004945,Overall effectiveness,2,Good
10004945,Leadership and management,2,Good
10109514,Is safeguarding effective,1,Yes
10109514,Overall effectiveness,4,Inadequate
10109514,Quality of education,4,Inadequate
10109514,Behaviour and attitudes,4,Inadequate
10109514,Personal development,3,Requires improvement
10109514,Leadership and management,4,Inadequate
10109514,Apprenticeships,4,Inadequate
ITS434402,Overall effectiveness,1,Outstanding
ITS434402,Leadership and management,1,Outstanding
ITS434402,Apprenticeships,1,Outstanding
10030748,Is safeguarding effective,1,Yes
10030748,Overall effectiveness,2,Good
10030748,Leadership and management,2,Good
10030748,Apprenticeships,2,Good
ITS376223,Overall effectiveness,2,Good
ITS376223,Leadership and management,2,Good
ITS386017,Overall effectiveness,1,Outstanding
ITS386017,Leadership and management,1,Outstanding
ITS345929,Overall effectiveness,2,Good
ITS345929,Leadership and management,2,Good
ITS343087,Overall effectiveness,2,Good
ITS343087,Leadership and management,2,Good
ITS410634,Overall effectiveness,2,Good
ITS410634,Leadership and management,2,Good
ITS427779,Overall effectiveness,2,Good
ITS427779,Leadership and management,1,Outstanding
ITS427779,Apprenticeships,2,Good
ITS452656,Overall effectiveness,2,Good
ITS452656,Leadership and management,2,Good
ITS452656,Apprenticeships,2,Good
ITS423776,Overall effectiveness,2,Good
ITS423776,Leadership and management,2,Good
ITS423776,Apprenticeships,2,Good
10011491,Is safeguarding effective,1,Yes
10011491,Overall effectiveness,2,Good
10011491,Leadership and management,2,Good
10011491,Apprenticeships,2,Good
10004951,Is safeguarding effective,1,Yes
10004951,Overall effectiveness,2,Good
10004951,Leadership and management,2,Good
10004951,Apprenticeships,2,Good
10054591,Is safeguarding effective,1,Yes
10054591,Overall effectiveness,2,Good
10054591,Leadership and management,2,Good
10054591,Apprenticeships,2,Good
ITS463358,Overall effectiveness,2,Good
ITS463358,Leadership and management,2,Good
ITS463358,Apprenticeships,2,Good
10004952,Is safeguarding effective,1,Yes
10004952,Overall effectiveness,2,Good
10004952,Leadership and management,2,Good
10004952,Apprenticeships,2,Good
ITS345778,Overall effectiveness,2,Good
ITS345778,Leadership and management,2,Good
ITS345937,Overall effectiveness,2,Good
ITS345937,Leadership and management,2,Good
10020127,Is safeguarding effective,1,Yes
10020127,Overall effectiveness,2,Good
10020127,Leadership and management,2,Good
10020127,Apprenticeships,2,Good
10123093,Is safeguarding effective,1,Yes
10123093,Overall effectiveness,2,Good
10123093,Quality of education,2,Good
10123093,Behaviour and attitudes,2,Good
10123093,Personal development,2,Good
10123093,Leadership and management,2,Good
ITS385052,Overall effectiveness,2,Good
ITS385052,Leadership and management,2,Good
10078062,Is safeguarding effective,1,Yes
10078062,Overall effectiveness,2,Good
10078062,Leadership and management,2,Good
ITS366691,Overall effectiveness,2,Good
ITS366691,Leadership and management,2,Good
ITS345784,Overall effectiveness,2,Good
ITS345784,Leadership and management,2,Good
10052055,Is safeguarding effective,1,Yes
10052055,Overall effectiveness,2,Good
10052055,Leadership and management,2,Good
ITS410635,Overall effectiveness,2,Good
ITS410635,Leadership and management,2,Good
ITS345786,Overall effectiveness,2,Good
ITS345786,Leadership and management,1,Outstanding
10008488,Is safeguarding effective,1,Yes
10008488,Overall effectiveness,2,Good
10008488,Leadership and management,2,Good
ITS434068,Overall effectiveness,2,Good
ITS434068,Leadership and management,2,Good
ITS434068,Apprenticeships,3,Requires improvement
ITS363140,Overall effectiveness,2,Good
ITS363140,Leadership and management,2,Good
ITS446662,Overall effectiveness,2,Good
ITS446662,Leadership and management,2,Good
ITS363142,Overall effectiveness,2,Good
ITS363142,Leadership and management,2,Good
10005431,Is safeguarding effective,1,Yes
10005431,Overall effectiveness,2,Good
10005431,Leadership and management,2,Good
ITS429148,Overall effectiveness,2,Good
ITS429148,Leadership and management,2,Good
10004960,Is safeguarding effective,1,Yes
10004960,Overall effectiveness,2,Good
10004960,Leadership and management,2,Good
10046756,Is safeguarding effective,1,Yes
10046756,Overall effectiveness,1,Outstanding
10046756,Leadership and management,1,Outstanding
10123042,Is safeguarding effective,0,No
10123042,Overall effectiveness,4,Inadequate
10123042,Quality of education,3,Requires improvement
10123042,Behaviour and attitudes,3,Requires improvement
10123042,Personal development,3,Requires improvement
10123042,Leadership and management,4,Inadequate
10123042,Apprenticeships,2,Good
